model_tag,retriever,lang_pair,selector_method,k,num_samples,empty_prediction_count,bleu,comet22,pred_qe,source_scope
bloomz-7b1-mt,shared,eng_Latn-hau_Latn,zero_shot,0,1012,0,0.7530881190806613,0.3445904545427075,0.2918833040231066,shared canonical zero-shot used in manuscript
bloomz-7b1-mt,shared,eng_Latn-plt_Latn,zero_shot,0,1012,16,1.860231327893427,0.4376369130659295,0.3767268225012055,shared canonical zero-shot used in manuscript
bloomz-7b1-mt,shared,eng_Latn-som_Latn,zero_shot,0,1012,0,1.2945670113572425,0.3612088598016458,0.278722708507371,shared canonical zero-shot used in manuscript
bloomz-7b1-mt,shared,eng_Latn-swh_Latn,zero_shot,0,1012,0,32.60716472038681,0.7848980904450058,0.7315413765609264,shared canonical zero-shot used in manuscript
bloomz-7b1-mt,shared,eng_Latn-xho_Latn,zero_shot,0,1012,0,2.9862383866431808,0.5382428069124109,0.4442354423019726,shared canonical zero-shot used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,retriever_topk,8,1012,0,1.079673197188996,0.5166547941301651,0.3678825484375237,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,error_filter,8,1012,0,0.9906819832513178,0.5096946169029583,0.3673350271500146,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,error_profile_rerank,8,1012,0,1.1416506185565256,0.5161880818398102,0.3696675953775526,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,low_quality,8,1012,0,0.4176001347525488,0.4741294493258235,0.3460863858107992,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,quality_only,8,1012,0,1.0199998057673858,0.4928229380354815,0.368106283851174,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,quality_rerank,8,1012,0,1.055833899531117,0.5142022663720041,0.3667274606469356,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,random_in_topn,8,1012,0,0.7394312366047747,0.4881259841704557,0.3571937606327618,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,retriever_topk,8,1012,0,1.039553535635197,0.5088910750691363,0.3672696166182224,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,error_filter,8,1012,0,1.272716727973148,0.504994990635413,0.3659116264152904,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,error_profile_rerank,8,1012,0,1.1590793813313955,0.5074032499885606,0.3671399746900019,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,low_quality,8,1012,0,0.6474980354751256,0.468588157148347,0.3471385599831819,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,quality_only,8,1012,0,1.0247171915830189,0.5013176671306606,0.3741461630513074,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,quality_rerank,8,1012,0,1.0863676697835432,0.5069516543078093,0.3656898319956813,retriever-specific MT-ICL result used in manuscript
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,random_in_topn,8,1012,0,0.7412869538558907,0.4878953690143677,0.3589998379703096,retriever-specific MT-ICL result used in manuscript
